Aufnahmezeit;Stromstärke (A);Wirkleistung (W);Scheinleistung (W)
11.18.2022 18:20;0,88;32,84864;205,304
11.18.2022 18:21;2,661;427,441752;619,4808
11.18.2022 18:22;2,599;417,123906;604,5274
11.18.2022 18:23;2,573;413,306136;598,9944
11.18.2022 18:24;2,567;412,342344;597,5976
11.18.2022 18:25;2,557;411,08889;595,781
11.18.2022 18:26;2,556;410,92812;595,548
11.18.2022 18:27;2,529;406,412829;589,0041
11.18.2022 18:28;2,549;410,154492;594,4268
11.18.2022 18:29;2,562;412,423074;597,7146
11.18.2022 18:30;2,558;411,426162;596,2698
11.18.2022 18:31;2,564;411,506616;596,3864
11.18.2022 18:32;2,558;410,720154;595,2466
11.18.2022 18:33;2,547;408,953961;592,6869
11.18.2022 18:34;2,523;404,926362;586,8498
11.18.2022 18:35;2,54;407,83002;591,058
11.18.2022 18:36;2,506;402,197964;582,8956
11.18.2022 18:37;2,547;408,426732;591,9228
11.18.2022 18:38;2,513;403,148025;584,2725
11.18.2022 18:39;2,53;406,04982;588,478
11.18.2022 18:40;2,532;406,545516;589,1964
11.18.2022 18:41;1,065;67,05666;248,358
