Aufnahmezeit,Stromstärke (A),Wirkleistung (W),Scheinleistung (W)
27.10.22 14:04,0,0,0
27.10.22 14:05,0.983,61.707825,228.5475
27.10.22 14:06,2.911,654.526706,674.7698
27.10.22 14:07,2.884,648.735612,668.7996
27.10.22 14:08,2.867,645.18968,665.144
27.10.22 14:09,2.855,643.04307,662.931
27.10.22 14:10,2.841,639.889794,659.6802
27.10.22 14:11,2.623,529.198119,608.2737
27.10.22 14:12,2.843,639.237178,659.0074
27.10.22 14:13,2.83,636.31418,655.994
27.10.22 14:14,2.808,631.639944,651.1752
27.10.22 14:15,2.838,638.388234,658.1322
27.10.22 14:16,2.831,635.989812,655.6596
27.10.22 14:17,2.832,636.489168,656.1744
27.10.22 14:18,2.835,637.9884,657.72
27.10.22 14:19,2.829,636.089334,655.7622
27.10.22 14:20,2.822,634.515412,654.1396
27.10.22 14:21,2.823,634.740258,654.3714
27.10.22 14:22,2.829,636.63816,656.328
27.10.22 14:23,2.641,502.42384,612.712
27.10.22 14:24,2.48,402.9256,575.608
27.10.22 14:25,2.496,405.69984,579.5712
27.10.22 14:26,1.999,241.263308,463.9679
27.10.22 14:27,2.774,572.034862,642.7358
27.10.22 14:28,2.852,640.154216,659.9528
27.10.22 14:29,2.84,639.1136,658.88
27.10.22 14:30,2.801,618.138685,650.6723
27.10.22 14:31,0.001,0,0.2336
