Startzeit: 27-10-2022 13:46:00
Endzeit: 27-10-2022 15:10:00
Daten Anzahl: 85
"Stromstärke (A) Max: 2,925 27-10-2022 13:48:00	 Min: 0 27-10-2022 13:46:00	 Avg: 1,13"
"Wirkleistung (W) Max: 656,53965 27-10-2022 13:48:00	 Min: 0 27-10-2022 13:46:00	 Avg: 228,97"
"Scheinleistung (W) Max: 676,845 27-10-2022 13:48:00	 Min: 0 27-10-2022 13:46:00	 Avg: 262,63"
""
Aufnahmezeit,Stromstärke (A),Wirkleistung (W),Scheinleistung (W)
"27-10-2022 13:46:00","0","0","0"
"27-10-2022 13:47:00","1,852","236,41706","429,8492"
"27-10-2022 13:48:00","2,925","656,53965","676,845"
"27-10-2022 13:49:00","2,022","304,78617","468,9018"
"27-10-2022 13:50:00","0","0","0"
"27-10-2022 13:51:00","0","0","0"
"27-10-2022 13:52:00","0","0","0"
"27-10-2022 13:53:00","0","0","0"
"27-10-2022 13:54:00","0","0","0"
"27-10-2022 13:55:00","0","0","0"
"27-10-2022 13:56:00","0","0","0"
"27-10-2022 13:57:00","0","0","0"
"27-10-2022 13:58:00","0","0","0"
"27-10-2022 13:59:00","0","0","0"
"27-10-2022 14:00:00","0","0","0"
"27-10-2022 14:01:00","0","0","0"
"27-10-2022 14:02:00","0","0","0"
"27-10-2022 14:03:00","0","0","0"
"27-10-2022 14:04:00","0","0","0"
"27-10-2022 14:05:00","0,983","61,707825","228,5475"
"27-10-2022 14:06:00","2,911","654,526706","674,7698"
"27-10-2022 14:07:00","2,884","648,735612","668,7996"
"27-10-2022 14:08:00","2,867","645,18968","665,144"
"27-10-2022 14:09:00","2,855","643,04307","662,931"
"27-10-2022 14:10:00","2,841","639,889794","659,6802"
"27-10-2022 14:11:00","2,623","529,198119","608,2737"
"27-10-2022 14:12:00","2,843","639,237178","659,0074"
"27-10-2022 14:13:00","2,83","636,31418","655,994"
"27-10-2022 14:14:00","2,808","631,639944","651,1752"
"27-10-2022 14:15:00","2,838","638,388234","658,1322"
"27-10-2022 14:16:00","2,831","635,989812","655,6596"
"27-10-2022 14:17:00","2,832","636,489168","656,1744"
"27-10-2022 14:18:00","2,835","637,9884","657,72"
"27-10-2022 14:19:00","2,829","636,089334","655,7622"
"27-10-2022 14:20:00","2,822","634,515412","654,1396"
"27-10-2022 14:21:00","2,823","634,740258","654,3714"
"27-10-2022 14:22:00","2,829","636,63816","656,328"
"27-10-2022 14:23:00","2,641","502,42384","612,712"
"27-10-2022 14:24:00","2,48","402,9256","575,608"
"27-10-2022 14:25:00","2,496","405,69984","579,5712"
"27-10-2022 14:26:00","1,999","241,263308","463,9679"
"27-10-2022 14:27:00","2,774","572,034862","642,7358"
"27-10-2022 14:28:00","2,852","640,154216","659,9528"
"27-10-2022 14:29:00","2,84","639,1136","658,88"
"27-10-2022 14:30:00","2,801","618,138685","650,6723"
"27-10-2022 14:31:00","0,001","0","0,2336"
"27-10-2022 14:32:00","0","0","0"
"27-10-2022 14:33:00","0","0","0"
"27-10-2022 14:34:00","0","0","0"
"27-10-2022 14:35:00","0","0","0"
"27-10-2022 14:36:00","0","0","0"
"27-10-2022 14:37:00","0","0","0"
"27-10-2022 14:38:00","0","0","0"
"27-10-2022 14:39:00","0","0","0"
"27-10-2022 14:40:00","0","0","0"
"27-10-2022 14:41:00","0","0","0"
"27-10-2022 14:42:00","0","0","0"
"27-10-2022 14:43:00","0","0","0"
"27-10-2022 14:44:00","0","0","0"
"27-10-2022 14:45:00","0","0","0"
"27-10-2022 14:46:00","0","0","0"
"27-10-2022 14:47:00","0","0","0"
"27-10-2022 14:48:00","0","0","0"
"27-10-2022 14:49:00","0","0","0"
"27-10-2022 14:50:00","0","0","0"
"27-10-2022 14:51:00","0","0","0"
"27-10-2022 14:52:00","0","0","0"
"27-10-2022 14:53:00","0","0","0"
"27-10-2022 14:54:00","0","0","0"
"27-10-2022 14:55:00","1,863","246,36312","432,216"
"27-10-2022 14:56:00","0","0","0"
"27-10-2022 14:57:00","0","0","0"
"27-10-2022 14:58:00","0","0","0"
"27-10-2022 14:59:00","0","0","0"
"27-10-2022 15:00:00","0","0","0"
"27-10-2022 15:01:00","0","0","0"
"27-10-2022 15:02:00","0","0","0"
"27-10-2022 15:03:00","2,85","594,3105","660,345"
"27-10-2022 15:04:00","2,873","645,146515","665,0995"
"27-10-2022 15:05:00","2,858","641,77819","661,627"
"27-10-2022 15:06:00","2,59","432,44712","600,621"
"27-10-2022 15:07:00","2,594","433,114992","601,5486"
"27-10-2022 15:08:00","1,956","222,549768","454,1832"
"27-10-2022 15:09:00","1,855","206,5728","430,36"
"27-10-2022 15:10:00","0,063","0,439236","14,6412"
