Datum;PV[Watt]
01.01.2011 00:00;0
01.01.2011 00:15;0
01.01.2011 00:30;0
01.01.2011 00:45;0
01.01.2011 01:00;0
01.01.2011 01:15;0
01.01.2011 01:30;0
01.01.2011 01:45;0
01.01.2011 02:00;0
01.01.2011 02:15;0
01.01.2011 02:30;0
01.01.2011 02:45;0
01.01.2011 03:00;0
01.01.2011 03:15;0
01.01.2011 03:30;0
01.01.2011 03:45;0
01.01.2011 04:00;0
01.01.2011 04:15;0
01.01.2011 04:30;0
01.01.2011 04:45;0
01.01.2011 05:00;0
01.01.2011 05:15;0
01.01.2011 05:30;0
01.01.2011 05:45;0
01.01.2011 06:00;0
01.01.2011 06:15;0
01.01.2011 06:30;0
01.01.2011 06:45;0
01.01.2011 07:00;0
01.01.2011 07:15;0
01.01.2011 07:30;0
01.01.2011 07:45;0
01.01.2011 08:00;0
01.01.2011 08:15;0
01.01.2011 08:30;0
01.01.2011 08:45;0
01.01.2011 09:00;0
01.01.2011 09:15;0
01.01.2011 09:30;0
01.01.2011 09:45;0
01.01.2011 10:00;0
01.01.2011 10:15;0
01.01.2011 10:30;16
01.01.2011 10:45;24
01.01.2011 11:00;16
01.01.2011 11:15;12
01.01.2011 11:30;12
01.01.2011 11:45;4
01.01.2011 12:00;0
01.01.2011 12:15;0
01.01.2011 12:30;0
01.01.2011 12:45;0
01.01.2011 13:00;12
01.01.2011 13:15;12
01.01.2011 13:30;8
01.01.2011 13:45;20
01.01.2011 14:00;4
01.01.2011 14:15;0
01.01.2011 14:30;0
01.01.2011 14:45;0
01.01.2011 15:00;0
01.01.2011 15:15;0
01.01.2011 15:30;0
01.01.2011 15:45;0
01.01.2011 16:00;0
01.01.2011 16:15;0
01.01.2011 16:30;0
01.01.2011 16:45;0
01.01.2011 17:00;0
01.01.2011 17:15;0
01.01.2011 17:30;0
01.01.2011 17:45;0
01.01.2011 18:00;0
01.01.2011 18:15;0
01.01.2011 18:30;0
01.01.2011 18:45;0
01.01.2011 19:00;0
01.01.2011 19:15;0
01.01.2011 19:30;0
01.01.2011 19:45;0
01.01.2011 20:00;0
01.01.2011 20:15;0
01.01.2011 20:30;0
01.01.2011 20:45;0
01.01.2011 21:00;0
01.01.2011 21:15;0
01.01.2011 21:30;0
01.01.2011 21:45;0
01.01.2011 22:00;0
01.01.2011 22:15;0
01.01.2011 22:30;0
01.01.2011 22:45;0
01.01.2011 23:00;0
01.01.2011 23:15;0
01.01.2011 23:30;0
01.01.2011 23:45;0
02.01.2011 00:00;0
02.01.2011 00:15;0
02.01.2011 00:30;0
02.01.2011 00:45;0
02.01.2011 01:00;0
02.01.2011 01:15;0
02.01.2011 01:30;0
02.01.2011 01:45;0
02.01.2011 02:00;0
02.01.2011 02:15;0
02.01.2011 02:30;0
02.01.2011 02:45;0
02.01.2011 03:00;0
02.01.2011 03:15;0
02.01.2011 03:30;0
02.01.2011 03:45;0
02.01.2011 04:00;0
02.01.2011 04:15;0
02.01.2011 04:30;0
02.01.2011 04:45;0
02.01.2011 05:00;0
02.01.2011 05:15;0
02.01.2011 05:30;0
02.01.2011 05:45;0
02.01.2011 06:00;0
02.01.2011 06:15;0
02.01.2011 06:30;0
02.01.2011 06:45;0
02.01.2011 07:00;0
02.01.2011 07:15;0
02.01.2011 07:30;0
02.01.2011 07:45;0
02.01.2011 08:00;0
02.01.2011 08:15;0
02.01.2011 08:30;16
02.01.2011 08:45;56
02.01.2011 09:00;72
02.01.2011 09:15;76
02.01.2011 09:30;72
02.01.2011 09:45;76
02.01.2011 10:00;120
02.01.2011 10:15;100
02.01.2011 10:30;170
02.01.2011 10:45;420
02.01.2011 11:00;600
02.01.2011 11:15;490
02.01.2011 11:30;270
02.01.2011 11:45;300
02.01.2011 12:00;140
02.01.2011 12:15;240
02.01.2011 12:30;450
02.01.2011 12:45;310
02.01.2011 13:00;230
02.01.2011 13:15;270
02.01.2011 13:30;940
02.01.2011 13:45;1100
02.01.2011 14:00;800
02.01.2011 14:15;1300
02.01.2011 14:30;1200
02.01.2011 14:45;690
02.01.2011 15:00;160
02.01.2011 15:15;28
02.01.2011 15:30;4
02.01.2011 15:45;0
02.01.2011 16:00;0
02.01.2011 16:15;0
02.01.2011 16:30;0
02.01.2011 16:45;0
02.01.2011 17:00;0
02.01.2011 17:15;0
02.01.2011 17:30;0
02.01.2011 17:45;0
02.01.2011 18:00;0
02.01.2011 18:15;0
02.01.2011 18:30;0
02.01.2011 18:45;0
02.01.2011 19:00;0
02.01.2011 19:15;0
02.01.2011 19:30;0
02.01.2011 19:45;0
02.01.2011 20:00;0
02.01.2011 20:15;0
02.01.2011 20:30;0
02.01.2011 20:45;0
02.01.2011 21:00;0
02.01.2011 21:15;0
02.01.2011 21:30;0
02.01.2011 21:45;0
02.01.2011 22:00;0
02.01.2011 22:15;0
02.01.2011 22:30;0
02.01.2011 22:45;0
02.01.2011 23:00;0
02.01.2011 23:15;0
02.01.2011 23:30;0
02.01.2011 23:45;0
03.01.2011 00:00;0
03.01.2011 00:15;0
