Datum,Uhrzeit,Leistung [Watt]
2022-01-01,00:00:00,100.000
2022-01-01,00:15:00,104.636
2022-01-01,00:30:00,96.775
2022-01-01,00:45:00,88.483
2022-01-01,01:00:00,82.117
2022-01-01,01:15:00,76.464
2022-01-01,01:30:00,71.626
2022-01-01,01:45:00,68.226
2022-01-01,02:00:00,65.822
2022-01-01,02:15:00,62.674
2022-01-01,02:30:00,59.97
2022-01-01,02:45:00,57.932
2022-01-01,03:00:00,57.404
2022-01-01,03:15:00,58.666
2022-01-01,03:30:00,58.192
2022-01-01,03:45:00,59.714
2022-01-01,04:00:00,60.421
2022-01-01,04:15:00,62.043
2022-01-01,04:30:00,62.949
2022-01-01,04:45:00,64.198
2022-01-01,05:00:00,67.503
2022-01-01,05:15:00,68.809
2022-01-01,05:30:00,69.702
2022-01-01,05:45:00,70.43
2022-01-01,06:00:00,70.739
2022-01-01,06:15:00,66.793
2022-01-01,06:30:00,67.888
2022-01-01,06:45:00,70.313
2022-01-01,07:00:00,73.549
2022-01-01,07:15:00,79.472
2022-01-01,07:30:00,85.998
2022-01-01,07:45:00,93.965
2022-01-01,08:00:00,103.289
2022-01-01,08:15:00,115.067
2022-01-01,08:30:00,127.446
2022-01-01,08:45:00,139.318
2022-01-01,09:00:00,150.877
2022-01-01,09:15:00,161.481
2022-01-01,09:30:00,171.55
2022-01-01,09:45:00,178.34
2022-01-01,10:00:00,184.815
2022-01-01,10:15:00,191.208
2022-01-01,10:30:00,195.929
2022-01-01,10:45:00,198.768
2022-01-01,11:00:00,201.674
2022-01-01,11:15:00,203.478
2022-01-01,11:30:00,208.184
2022-01-01,11:45:00,210.772
2022-01-01,12:00:00,211.837
2022-01-01,12:15:00,211.69
2022-01-01,12:30:00,213.013
2022-01-01,12:45:00,210.462
2022-01-01,13:00:00,207.948
2022-01-01,13:15:00,214.054
2022-01-01,13:30:00,214.31
2022-01-01,13:45:00,208.115
2022-01-01,14:00:00,201.29
2022-01-01,14:15:00,190.74
2022-01-01,14:30:00,187.794
2022-01-01,14:45:00,184.181
2022-01-01,15:00:00,179.526
2022-01-01,15:15:00,171.793
2022-01-01,15:30:00,166.149
2022-01-01,15:45:00,165.166
2022-01-01,16:00:00,164.25
2022-01-01,16:15:00,165.806
2022-01-01,16:30:00,168.88
2022-01-01,16:45:00,172.657
2022-01-01,17:00:00,184.122
2022-01-01,17:15:00,193.482
2022-01-01,17:30:00,201.631
2022-01-01,17:45:00,206.808
2022-01-01,18:00:00,211.783
2022-01-01,18:15:00,216.013
2022-01-01,18:30:00,219.149
2022-01-01,18:45:00,219.999
2022-01-01,19:00:00,220.594
2022-01-01,19:15:00,219.21
2022-01-01,19:30:00,217.96
2022-01-01,19:45:00,215.996
2022-01-01,20:00:00,210.27
2022-01-01,20:15:00,203.272
2022-01-01,20:30:00,192.513
2022-01-01,20:45:00,182.003
2022-01-01,21:00:00,175.496
2022-01-01,21:15:00,182.101
2022-01-01,21:30:00,179.378
2022-01-01,21:45:00,174.245
2022-01-01,22:00:00,171.428
2022-01-01,22:15:00,162.421
2022-01-01,22:30:00,153.164
2022-01-01,22:45:00,143.527
2022-01-01,23:00:00,134.623
2022-01-01,23:15:00,122.91
2022-01-01,23:30:00,114.422
2022-01-01,23:45:00,104.861
2022-01-02,00:00:00,95.499
2022-01-02,00:15:00,104.658
2022-01-02,00:30:00,96.795
2022-01-02,00:45:00,88.498
2022-01-02,01:00:00,82.129
2022-01-02,01:15:00,76.474
2022-01-02,01:30:00,71.636
2022-01-02,01:45:00,68.238
2022-01-02,02:00:00,65.838
2022-01-02,02:15:00,62.69
2022-01-02,02:30:00,59.979
2022-01-02,02:45:00,57.939
2022-01-02,03:00:00,57.41
2022-01-02,03:15:00,58.673
2022-01-02,03:30:00,58.199
2022-01-02,03:45:00,59.724
2022-01-02,04:00:00,60.432
2022-01-02,04:15:00,62.057
2022-01-02,04:30:00,62.964
2022-01-02,04:45:00,64.214
2022-01-02,05:00:00,67.523
2022-01-02,05:15:00,68.829
2022-01-02,05:30:00,69.724
2022-01-02,05:45:00,70.453
2022-01-02,06:00:00,70.762
2022-01-02,06:15:00,66.809
2022-01-02,06:30:00,67.904
2022-01-02,06:45:00,70.329
2022-01-02,07:00:00,73.565
2022-01-02,07:15:00,79.489
2022-01-02,07:30:00,86.015
2022-01-02,07:45:00,93.983
2022-01-02,08:00:00,103.307
2022-01-02,08:15:00,115.089
2022-01-02,08:30:00,127.47
2022-01-02,08:45:00,139.347
