Datum;Leistung [Watt]
01.01.2022 00:15;104,636
01.01.2022 00:30;96,775
01.01.2022 00:45;88,483
01.01.2022 01:00;82,117
01.01.2022 01:15;76,464
01.01.2022 01:30;71,626
01.01.2022 01:45;68,226
01.01.2022 02:00;65,822
01.01.2022 02:15;62,674
01.01.2022 02:30;59,97
01.01.2022 02:45;57,932
01.01.2022 03:00;57,404
01.01.2022 03:15;58,666
01.01.2022 03:30;58,192
01.01.2022 03:45;59,714
01.01.2022 04:00;60,421
01.01.2022 04:15;62,043
01.01.2022 04:30;62,949
01.01.2022 04:45;64,198
01.01.2022 05:00;67,503
01.01.2022 05:15;68,809
01.01.2022 05:30;69,702
01.01.2022 05:45;70,43
01.01.2022 06:00;70,739
01.01.2022 06:15;66,793
01.01.2022 06:30;67,888
01.01.2022 06:45;70,313
01.01.2022 07:00;73,549
01.01.2022 07:15;79,472
01.01.2022 07:30;85,998
01.01.2022 07:45;93,965
01.01.2022 08:00;103,289
01.01.2022 08:15;115,067
01.01.2022 08:30;127,446
01.01.2022 08:45;139,318
01.01.2022 09:00;150,877
01.01.2022 09:15;161,481
01.01.2022 09:30;171,55
01.01.2022 09:45;178,34
01.01.2022 10:00;184,815
01.01.2022 10:15;191,208
01.01.2022 10:30;195,929
01.01.2022 10:45;198,768
01.01.2022 11:00;201,674
01.01.2022 11:15;203,478
01.01.2022 11:30;208,184
01.01.2022 11:45;210,772
01.01.2022 12:00;211,837
01.01.2022 12:15;211,69
01.01.2022 12:30;213,013
01.01.2022 12:45;210,462
01.01.2022 13:00;207,948
01.01.2022 13:15;214,054
01.01.2022 13:30;214,31
01.01.2022 13:45;208,115
01.01.2022 14:00;201,29
01.01.2022 14:15;190,74
01.01.2022 14:30;187,794
01.01.2022 14:45;184,181
01.01.2022 15:00;179,526
01.01.2022 15:15;171,793
01.01.2022 15:30;166,149
01.01.2022 15:45;165,166
01.01.2022 16:00;164,25
01.01.2022 16:15;165,806
01.01.2022 16:30;168,88
01.01.2022 16:45;172,657
01.01.2022 17:00;184,122
01.01.2022 17:15;193,482
01.01.2022 17:30;201,631
01.01.2022 17:45;206,808
01.01.2022 18:00;211,783
01.01.2022 18:15;216,013
01.01.2022 18:30;219,149
01.01.2022 18:45;219,999
01.01.2022 19:00;220,594
01.01.2022 19:15;219,21
01.01.2022 19:30;217,96
01.01.2022 19:45;215,996
01.01.2022 20:00;210,27
01.01.2022 20:15;203,272
01.01.2022 20:30;192,513
01.01.2022 20:45;182,003
01.01.2022 21:00;175,496
01.01.2022 21:15;182,101
01.01.2022 21:30;179,378
01.01.2022 21:45;174,245
01.01.2022 22:00;171,428
01.01.2022 22:15;162,421
01.01.2022 22:30;153,164
01.01.2022 22:45;143,527
01.01.2022 23:00;134,623
01.01.2022 23:15;122,91
01.01.2022 23:30;114,422
01.01.2022 23:45;104,861
02.01.2022 00:00;95,499
02.01.2022 00:15;104,658
02.01.2022 00:30;96,795
02.01.2022 00:45;88,498
02.01.2022 01:00;82,129
02.01.2022 01:15;76,474
02.01.2022 01:30;71,636
02.01.2022 01:45;68,238
02.01.2022 02:00;65,838
02.01.2022 02:15;62,69
02.01.2022 02:30;59,979
02.01.2022 02:45;57,939
02.01.2022 03:00;57,41
02.01.2022 03:15;58,673
02.01.2022 03:30;58,199
02.01.2022 03:45;59,724
02.01.2022 04:00;60,432
02.01.2022 04:15;62,057
02.01.2022 04:30;62,964
02.01.2022 04:45;64,214
02.01.2022 05:00;67,523
02.01.2022 05:15;68,829
02.01.2022 05:30;69,724
02.01.2022 05:45;70,453
02.01.2022 06:00;70,762
02.01.2022 06:15;66,809
02.01.2022 06:30;67,904
02.01.2022 06:45;70,329
02.01.2022 07:00;73,565
02.01.2022 07:15;79,489
02.01.2022 07:30;86,015
02.01.2022 07:45;93,983
02.01.2022 08:00;103,307
02.01.2022 08:15;115,089
02.01.2022 08:30;127,47
02.01.2022 08:45;139,347
02.01.2022 09:00;150,911
02.01.2022 09:15;161,519
02.01.2022 09:30;171,591
02.01.2022 09:45;178,384
02.01.2022 10:00;184,861
02.01.2022 10:15;191,26
02.01.2022 10:30;195,982
02.01.2022 10:45;198,823
02.01.2022 11:00;201,73
02.01.2022 11:15;203,534
02.01.2022 11:30;208,241
02.01.2022 11:45;210,831
02.01.2022 12:00;211,894
02.01.2022 12:15;211,746
02.01.2022 12:30;213,07
02.01.2022 12:45;210,519
02.01.2022 13:00;208,007
02.01.2022 13:15;214,124
02.01.2022 13:30;214,385
02.01.2022 13:45;208,189
02.01.2022 14:00;201,363
02.01.2022 14:15;190,804
02.01.2022 14:30;187,859
02.01.2022 14:45;184,245
02.01.2022 15:00;179,588
02.01.2022 15:15;171,848
02.01.2022 15:30;166,199
02.01.2022 15:45;165,218
02.01.2022 16:00;164,303
02.01.2022 16:15;165,862
02.01.2022 16:30;168,94
02.01.2022 16:45;172,722
02.01.2022 17:00;184,195
02.01.2022 17:15;193,562
02.01.2022 17:30;201,719
02.01.2022 17:45;206,897
02.01.2022 18:00;211,874
02.01.2022 18:15;216,105
02.01.2022 18:30;219,239
02.01.2022 18:45;220,089
02.01.2022 19:00;220,682
02.01.2022 19:15;219,293
02.01.2022 19:30;218,041
02.01.2022 19:45;216,073
02.01.2022 20:00;210,342
02.01.2022 20:15;203,335
02.01.2022 20:30;192,568
02.01.2022 20:45;182,052
02.01.2022 21:00;175,539
02.01.2022 21:15;182,156
02.01.2022 21:30;179,433
02.01.2022 21:45;174,298
02.01.2022 22:00;171,476
02.01.2022 22:15;162,466
02.01.2022 22:30;153,203
02.01.2022 22:45;143,562
02.01.2022 23:00;134,655
02.01.2022 23:15;122,937
02.01.2022 23:30;114,447
02.01.2022 23:45;104,883
03.01.2022 00:00;95,518
03.01.2022 00:15;84,591
03.01.2022 00:30;76,641
03.01.2022 00:45;69,094
03.01.2022 01:00;63,786
03.01.2022 01:15;59,76
03.01.2022 01:30;57,029
03.01.2022 01:45;54,885
03.01.2022 02:00;54,2
03.01.2022 02:15;53,64
03.01.2022 02:30;51,765
03.01.2022 02:45;50,968
03.01.2022 03:00;51,127
03.01.2022 03:15;52,505
03.01.2022 03:30;53,275
03.01.2022 03:45;55,634
03.01.2022 04:00;57,472
03.01.2022 04:15;59,827
03.01.2022 04:30;62,195
03.01.2022 04:45;65,604
03.01.2022 05:00;71,836
03.01.2022 05:15;77,786
03.01.2022 05:30;83,795
03.01.2022 05:45;92,284
03.01.2022 06:00;101,507
03.01.2022 06:15;112,765
03.01.2022 06:30;129,204
03.01.2022 06:45;143,555
03.01.2022 07:00;155,33
03.01.2022 07:15;158,897
03.01.2022 07:30;155,698
03.01.2022 07:45;147,556
03.01.2022 08:00;140,377
03.01.2022 08:15;134,222
03.01.2022 08:30;129,199
03.01.2022 08:45;123,856
03.01.2022 09:00;119,702
03.01.2022 09:15;118,015
03.01.2022 09:30;116,086
03.01.2022 09:45;115,928
03.01.2022 10:00;115,852
03.01.2022 10:15;115,598
03.01.2022 10:30;114,998
03.01.2022 10:45;113,072
03.01.2022 11:00;112,156
03.01.2022 11:15;112,568
03.01.2022 11:30;114,117
03.01.2022 11:45;116,053
03.01.2022 12:00;119,155
03.01.2022 12:15;122,608
03.01.2022 12:30;125,869
03.01.2022 12:45;128,954
03.01.2022 13:00;132,167
03.01.2022 13:15;144,819
03.01.2022 13:30;150,896
03.01.2022 13:45;150,969
03.01.2022 14:00;148,78
03.01.2022 14:15;141,876
03.01.2022 14:30;138,068
03.01.2022 14:45;134,93
03.01.2022 15:00;130,304
03.01.2022 15:15;123,15
03.01.2022 15:30;118
03.01.2022 15:45;117,509
03.01.2022 16:00;118,773
03.01.2022 16:15;122,912
03.01.2022 16:30;129,314
03.01.2022 16:45;136,195
03.01.2022 17:00;146,918
03.01.2022 17:15;159,211
03.01.2022 17:30;170,135
03.01.2022 17:45;180,123
03.01.2022 18:00;189,624
03.01.2022 18:15;199,101
03.01.2022 18:30;207,262
03.01.2022 18:45;211,654
03.01.2022 19:00;217,035
03.01.2022 19:15;220,659
03.01.2022 19:30;221,882
03.01.2022 19:45;221,801
03.01.2022 20:00;217,717
03.01.2022 20:15;210,362
03.01.2022 20:30;202,063
03.01.2022 20:45;192,302
03.01.2022 21:00;186,025
03.01.2022 21:15;192,25
03.01.2022 21:30;187,898
03.01.2022 21:45;180,307
03.01.2022 22:00;175,953
03.01.2022 22:15;166,699
03.01.2022 22:30;156,919
03.01.2022 22:45;144,992
03.01.2022 23:00;133,295
03.01.2022 23:15;120,26
03.01.2022 23:30;110,415
03.01.2022 23:45;100,306
04.01.2022 00:00;91,283
04.01.2022 00:15;84,474
04.01.2022 00:30;76,191
04.01.2022 00:45;68,38
04.01.2022 01:00;62,993
04.01.2022 01:15;58,95
04.01.2022 01:30;55,826
04.01.2022 01:45;53,815
04.01.2022 02:00;53,057
04.01.2022 02:15;52,33
04.01.2022 02:30;50,854
04.01.2022 02:45;50,014
04.01.2022 03:00;50,205
04.01.2022 03:15;51,727
04.01.2022 03:30;52,491
04.01.2022 03:45;54,975
04.01.2022 04:00;56,45
04.01.2022 04:15;59,107
04.01.2022 04:30;61,612
04.01.2022 04:45;64,8
04.01.2022 05:00;71,302
04.01.2022 05:15;77,513
04.01.2022 05:30;83,806
04.01.2022 05:45;92,518
04.01.2022 06:00;103,285
04.01.2022 06:15;115,627
04.01.2022 06:30;133,15
04.01.2022 06:45;148,167
04.01.2022 07:00;162,405
04.01.2022 07:15;165,782
04.01.2022 07:30;162,058
04.01.2022 07:45;152,6
04.01.2022 08:00;143,435
04.01.2022 08:15;135,783
04.01.2022 08:30;130,745
04.01.2022 08:45;123,922
04.01.2022 09:00;119,406
04.01.2022 09:15;117,091
04.01.2022 09:30;115,088
04.01.2022 09:45;113,762
04.01.2022 10:00;112,374
04.01.2022 10:15;112,819
04.01.2022 10:30;112,274
04.01.2022 10:45;110,103
04.01.2022 11:00;109,079
04.01.2022 11:15;109,124
04.01.2022 11:30;110,918
04.01.2022 11:45;112,819
04.01.2022 12:00;115,237
04.01.2022 12:15;118,843
04.01.2022 12:30;122,991
04.01.2022 12:45;126,583
04.01.2022 13:00;130,279
04.01.2022 13:15;143,417
04.01.2022 13:30;150,181
04.01.2022 13:45;150,192
04.01.2022 14:00;148,825
04.01.2022 14:15;141,565
04.01.2022 14:30;138,011
04.01.2022 14:45;134,153
04.01.2022 15:00;129,384
04.01.2022 15:15;123,047
04.01.2022 15:30;118,394
04.01.2022 15:45;118,362
04.01.2022 16:00;119,313
04.01.2022 16:15;123,611
04.01.2022 16:30;129,582
04.01.2022 16:45;136,117
04.01.2022 17:00;146,523
04.01.2022 17:15;159,139
04.01.2022 17:30;170,404
04.01.2022 17:45;180,634
04.01.2022 18:00;191,717
04.01.2022 18:15;200,124
04.01.2022 18:30;207,881
04.01.2022 18:45;212,421
04.01.2022 19:00;218,533
04.01.2022 19:15;222,405
04.01.2022 19:30;223,502
04.01.2022 19:45;223,51
04.01.2022 20:00;220,417
04.01.2022 20:15;212,906
04.01.2022 20:30;204,883
04.01.2022 20:45;195,107
04.01.2022 21:00;188,247
04.01.2022 21:15;194,138
04.01.2022 21:30;190,139
04.01.2022 21:45;183,591
04.01.2022 22:00;177,714
04.01.2022 22:15;167,809
04.01.2022 22:30;157,794
04.01.2022 22:45;146,263
04.01.2022 23:00;135,083
04.01.2022 23:15;120,646
04.01.2022 23:30;110,107
04.01.2022 23:45;99,756
05.01.2022 00:00;90,159
