Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
18.03.2021 00:00,1133,392,104,636,0,57,2043,2997,1701,2567,59,395
18.03.2021 00:15,1132,384,104,613,0,57,2044,2989,1652,2509,47,396
18.03.2021 00:30,1131,381,117,599,0,57,2044,2979,1601,2473,11,391
18.03.2021 00:45,1125,382,145,562,0,57,2044,2912,1563,2461,25,394
18.03.2021 01:00,1123,381,149,529,0,57,2044,2864,1545,2451,14,395
18.03.2021 01:15,1117,381,129,507,0,57,2044,2865,1522,2430,20,395
18.03.2021 01:30,1121,383,99,511,0,57,2044,2862,1515,2422,14,387
18.03.2021 01:45,1124,387,80,496,0,57,2044,2856,1491,2408,8,388
18.03.2021 02:00,1124,388,62,475,0,57,2044,2856,1502,2409,11,391
18.03.2021 02:15,1124,382,52,486,0,57,2044,2846,1506,2423,3,394
18.03.2021 02:30,1125,385,57,477,0,57,2044,2842,1510,2420,9,392
18.03.2021 02:45,1128,385,67,468,0,57,2044,2843,1510,2406,8,390
18.03.2021 03:00,1128,384,66,470,0,57,2044,2841,1508,2369,4,386
18.03.2021 03:15,1130,383,69,467,0,57,2044,2835,1519,2370,6,388
18.03.2021 03:30,1127,385,74,466,0,57,2044,2838,1551,2367,2,392
18.03.2021 03:45,1129,381,83,444,0,57,2043,2835,1602,2378,0,392
18.03.2021 04:00,1128,380,89,442,0,57,2043,2855,1658,2376,1,392
18.03.2021 04:15,1131,379,106,429,0,57,2043,2862,1737,2389,0,392
18.03.2021 04:30,1129,379,114,407,0,57,2043,2866,1792,2393,0,393
18.03.2021 04:45,1134,381,104,389,0,57,2043,2897,1812,2419,1,391
18.03.2021 05:00,1136,379,93,373,0,57,2044,2934,1839,2502,1,393
18.03.2021 05:15,1136,381,79,347,0,57,2046,2958,1915,2547,18,394
18.03.2021 05:30,1137,387,62,326,0,57,2046,2971,2017,2622,44,393
18.03.2021 05:45,1142,387,64,312,0,57,2046,2960,2161,2689,87,391
18.03.2021 06:00,1157,385,70,304,1,57,2044,2959,2276,2750,292,387
18.03.2021 06:15,1167,395,65,296,16,56,2045,2971,2348,2767,411,389
18.03.2021 06:30,1178,396,65,307,35,56,2045,2993,2409,2812,492,386
