Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
01.03.2021 00:00,1130,338,82,1012,0,53,2034,2880,620,1615,34,393
01.03.2021 00:15,1126,336,84,981,0,53,2033,2828,579,1611,8,392
01.03.2021 00:30,1130,337,89,957,0,54,2033,2827,554,1610,5,392
01.03.2021 00:45,1124,336,91,934,0,54,2032,2815,565,1628,2,394
01.03.2021 01:00,1118,348,94,908,0,55,2033,2874,575,1695,47,396
01.03.2021 01:15,1107,337,87,901,0,55,2034,2891,580,1699,24,396
01.03.2021 01:30,1115,344,86,888,0,55,2034,2901,579,1714,61,391
01.03.2021 01:45,1120,347,80,892,0,55,2034,2882,575,1717,29,393
01.03.2021 02:00,1130,341,75,873,0,55,2035,2824,564,1771,5,395
01.03.2021 02:15,1123,337,74,860,0,55,2033,2796,555,1793,16,396
01.03.2021 02:30,1120,336,63,852,0,55,2034,2784,556,1793,24,396
01.03.2021 02:45,1122,336,52,844,0,55,2034,2799,572,1783,25,396
01.03.2021 03:00,1122,336,62,811,0,55,2034,2899,579,1796,4,395
01.03.2021 03:15,1125,334,68,771,0,55,2034,2942,587,1794,3,391
01.03.2021 03:30,1123,333,64,761,0,55,2034,2970,599,1828,4,392
01.03.2021 03:45,1119,333,69,746,0,55,2034,2985,712,1840,5,393
01.03.2021 04:00,1122,333,78,731,0,55,2035,3033,787,1849,5,391
01.03.2021 04:15,1125,334,81,741,0,55,2035,3093,815,1993,5,395
01.03.2021 04:30,1123,335,76,763,0,55,2035,3143,868,2023,7,396
01.03.2021 04:45,1123,333,64,779,0,55,2035,3169,904,2096,8,398
01.03.2021 05:00,1131,334,59,784,0,56,2035,3217,955,2205,131,398
01.03.2021 05:15,1132,333,50,781,0,56,2036,3273,989,2280,170,398
01.03.2021 05:30,1132,333,46,784,0,56,2036,3314,1018,2389,225,398
01.03.2021 05:45,1136,334,43,784,0,56,2036,3355,1039,2454,362,399
01.03.2021 06:00,1151,336,42,785,0,56,2035,3371,1046,2560,670,384
01.03.2021 06:15,1163,335,35,803,0,56,2036,3405,1186,2572,1041,388
01.03.2021 06:30,1162,332,43,800,1,56,2035,3432,1291,2564,1144,388
01.03.2021 06:45,1172,342,45,802,4,56,2036,3442,1347,2571,1243,385
01.03.2021 07:00,1184,337,51,806,29,56,2035,3440,1392,2588,1272,389
01.03.2021 07:15,1189,360,49,821,116,56,2035,3478,1395,2589,1454,389
01.03.2021 07:30,1185,338,58,821,294,56,2035,3533,1409,2600,1344,389
01.03.2021 07:45,1190,362,51,831,548,56,2035,3561,1422,2617,1289,387
01.03.2021 08:00,1196,349,56,820,858,56,2036,3557,1431,2616,1192,385
