Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
01.01.2021 17:00,1210,296,210,657,0,58,2038,2734,1002,2093,584,418
01.01.2021 17:15,1215,310,196,706,0,58,2038,2753,1024,2109,612,414
05.01.2021 17:00,1209,337,1529,2559,0,59,1962,3696,2440,2910,965,413
05.01.2021 17:15,1207,357,1523,2589,0,59,1964,3712,2442,2919,983,413
08.01.2021 17:00,1217,365,312,897,0,57,2038,3818,2914,3235,948,417
08.01.2021 17:15,1217,371,316,936,0,57,2037,3824,2909,3241,1035,412
12.01.2021 17:00,1190,305,1515,5499,0,56,1981,3610,2061,2245,785,399
12.01.2021 17:15,1196,307,1539,5503,0,56,1983,3602,2015,2265,966,400
15.01.2021 17:00,1206,382,80,1568,0,57,2048,4051,2956,3351,680,414
15.01.2021 17:15,1207,389,84,1533,0,57,2048,4060,2956,3355,863,412
19.01.2021 17:00,1171,333,969,6819,1,56,2023,3916,1963,1606,573,488
19.01.2021 17:15,1175,338,995,6813,0,56,2022,3927,1956,1611,775,481
22.01.2021 17:00,1197,314,1306,3179,0,56,1944,3884,1432,2698,652,408
22.01.2021 17:15,1200,319,1306,3176,0,56,1945,3895,1436,2704,887,408
26.01.2021 17:00,1195,365,459,3171,3,57,2043,4017,2744,2851,747,401
26.01.2021 17:15,1194,364,479,3256,0,57,2042,4018,2750,2860,789,399
29.01.2021 17:00,1196,425,1621,4685,5,56,2021,3870,1280,1837,479,384
29.01.2021 17:15,1192,428,1636,4613,0,56,2021,3892,1263,1841,637,382
