Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
21.06.2021 00:00,983,583,343,2088,0,33,1633,3258,707,928,53,372
21.06.2021 00:15,991,566,321,2189,0,33,1635,3238,681,912,33,372
21.06.2021 00:30,983,587,323,2187,0,33,1639,3222,674,896,25,377
21.06.2021 00:45,980,589,328,2226,0,33,1639,3197,652,913,31,376
21.06.2021 01:00,978,592,323,2203,0,33,1639,3198,641,955,55,378
21.06.2021 01:15,979,582,303,2224,0,33,1639,3192,645,948,17,375
21.06.2021 01:30,980,576,306,2236,0,33,1640,3194,655,952,21,376
21.06.2021 01:45,978,566,312,2252,0,33,1641,3199,664,931,11,375
21.06.2021 02:00,980,568,302,2270,0,33,1640,3207,658,927,15,375
21.06.2021 02:15,975,570,271,2281,0,33,1639,3205,650,967,15,370
21.06.2021 02:30,978,573,275,2196,0,33,1639,3210,617,962,22,370
21.06.2021 02:45,976,569,310,2246,0,33,1639,3197,606,947,12,370
21.06.2021 03:00,977,571,350,2334,0,33,1641,3136,555,901,12,369
21.06.2021 03:15,975,571,391,2328,0,33,1641,3098,557,900,12,372
21.06.2021 03:30,980,569,448,2351,0,33,1641,3097,557,901,12,372
21.06.2021 03:45,979,567,476,2439,0,33,1641,3081,549,898,9,372
21.06.2021 04:00,983,587,463,2493,0,33,1642,3134,550,886,19,374
21.06.2021 04:15,985,595,461,2504,0,33,1642,3147,563,894,19,374
21.06.2021 04:30,984,616,435,2465,1,33,1643,3145,589,886,38,371
21.06.2021 04:45,981,608,398,2450,4,33,1643,3188,604,893,50,371
21.06.2021 05:00,991,590,359,2451,25,33,1642,3255,642,991,34,374
21.06.2021 05:15,993,563,347,2437,42,33,1643,3315,667,1053,16,371
21.06.2021 05:30,995,572,348,2441,80,33,1644,3357,722,1076,4,369
21.06.2021 05:45,1000,603,361,2462,161,33,1644,3361,764,1079,33,369
21.06.2021 06:00,1012,588,385,2487,265,33,1637,3354,742,1129,79,369
21.06.2021 06:15,1027,602,388,2481,385,33,1629,3353,768,1173,322,368
21.06.2021 06:30,1029,612,425,2490,521,33,1629,3376,799,1214,439,367
21.06.2021 06:45,1031,632,469,2441,692,33,1630,3368,824,1280,558,369
21.06.2021 07:00,1049,579,503,2417,914,33,1628,3347,856,1430,466,369
21.06.2021 07:15,1056,610,556,2437,1179,33,1629,3369,874,1477,451,372
21.06.2021 07:30,1055,579,651,2494,1489,33,1628,3376,944,1488,426,373
21.06.2021 07:45,1057,570,712,2522,1802,33,1627,3398,978,1483,317,373
21.06.2021 08:00,1066,630,762,2526,2182,33,1627,3393,1027,1443,501,366
21.06.2021 08:15,1064,611,779,2538,2573,33,1627,3390,1074,1439,393,364
21.06.2021 08:30,1064,567,829,2565,2977,33,1626,3384,1096,1438,322,365
