Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
01.06.2021 00:00,1094,528,275,1564,0,37,1975,2748,535,1498,188,354
01.06.2021 00:15,1088,500,276,1559,0,37,1975,2750,518,1433,157,359
01.06.2021 00:30,1089,506,262,1538,0,37,1975,2725,514,1397,76,358
01.06.2021 00:45,1091,499,264,1496,0,37,1977,2690,510,1341,42,358
01.06.2021 01:00,1088,510,273,1454,0,37,1977,2671,497,1312,48,356
01.06.2021 01:15,1082,525,281,1462,0,37,1978,2622,488,1309,62,360
01.06.2021 01:30,1080,516,293,1432,0,37,1980,2620,484,1299,34,362
01.06.2021 01:45,1085,503,307,1399,0,37,1980,2605,485,1302,25,363
01.06.2021 02:00,1083,504,299,1391,0,37,1979,2584,483,1273,32,361
01.06.2021 02:15,1084,503,308,1360,0,38,1971,2559,485,1289,23,363
01.06.2021 02:30,1086,501,307,1343,0,38,1972,2550,486,1271,16,363
01.06.2021 02:45,1084,504,307,1297,0,38,1972,2546,487,1279,23,359
01.06.2021 03:00,1083,498,294,1268,0,38,1975,2556,486,1285,13,360
01.06.2021 03:15,1079,492,289,1216,0,38,1982,2572,490,1281,16,363
01.06.2021 03:30,1084,485,313,1158,0,38,1982,2572,486,1285,26,360
01.06.2021 03:45,1088,484,314,1121,0,38,1982,2567,489,1290,26,361
01.06.2021 04:00,1090,482,310,1096,0,38,1982,2572,497,1281,16,358
01.06.2021 04:15,1090,480,308,1080,0,38,1982,2561,508,1286,10,363
01.06.2021 04:30,1088,481,288,1072,1,38,1984,2582,523,1334,6,364
01.06.2021 04:45,1091,482,274,1055,2,38,1985,2627,536,1355,4,360
01.06.2021 05:00,1098,483,284,1006,16,38,1985,2682,543,1357,30,356
01.06.2021 05:15,1103,481,285,954,42,38,1986,2720,554,1388,30,351
01.06.2021 05:30,1103,483,264,943,96,38,1987,2740,566,1389,57,359
01.06.2021 05:45,1115,485,249,940,200,38,1987,2768,584,1414,142,358
01.06.2021 06:00,1136,488,235,891,338,38,1986,2772,625,1463,238,359
01.06.2021 06:15,1142,506,199,855,526,38,1988,2791,661,1479,550,360
01.06.2021 06:30,1150,514,177,822,774,38,1988,2786,667,1488,638,357
01.06.2021 06:45,1152,522,152,789,1090,37,1989,2785,675,1524,762,364
01.06.2021 07:00,1167,523,132,733,1447,37,1988,2756,682,1586,834,362
01.06.2021 07:15,1163,531,121,684,1857,37,1989,2749,686,1581,894,361
01.06.2021 07:30,1163,524,110,618,2291,37,1988,2753,688,1588,852,361
01.06.2021 07:45,1160,508,107,537,2765,36,1987,2763,683,1584,752,362
01.06.2021 08:00,1153,533,91,455,3253,36,1987,2755,687,1578,840,364
01.06.2021 08:15,1160,525,86,364,3760,36,1986,2734,690,1570,701,365
01.06.2021 08:30,1156,516,83,304,4249,36,1984,2730,693,1561,659,369
01.06.2021 08:45,1157,502,90,268,4742,36,1982,2728,684,1562,411,367
01.06.2021 09:00,1150,549,84,283,5199,36,1980,2732,652,1581,620,366
01.06.2021 09:15,1145,520,78,331,5641,35,1980,2717,637,1563,397,368
01.06.2021 09:30,1146,521,72,379,6047,35,1978,2700,620,1563,270,364
01.06.2021 09:45,1146,506,73,436,6422,35,1976,2676,583,1560,110,367
01.06.2021 10:00,1130,546,72,501,6790,35,1975,2692,579,1520,228,367
01.06.2021 10:15,1126,520,76,560,7126,35,1974,2663,571,1484,143,368
01.06.2021 10:30,1122,501,61,652,7401,36,1973,2627,566,1388,89,366
01.06.2021 10:45,1124,495,53,735,7657,36,1973,2623,558,1259,75,367
01.06.2021 11:00,1113,557,46,791,7885,36,1972,2647,554,1137,139,366
01.06.2021 11:15,1108,534,39,840,8051,36,1971,2611,569,1076,98,353
01.06.2021 11:30,1109,522,35,864,8201,36,1970,2559,567,1050,101,350
01.06.2021 11:45,1109,507,36,902,8314,36,1966,2534,567,1038,75,355
01.06.2021 12:00,1095,559,31,917,8425,36,1965,2427,536,989,83,358
