Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
18.06.2021 00:00,974,533,320,2194,0,33,1633,3008,1294,1891,23,368
18.06.2021 00:15,974,556,309,2107,0,33,1633,3001,1271,1802,72,372
18.06.2021 00:30,970,553,287,2030,0,33,1633,2998,1241,1825,45,372
18.06.2021 00:45,970,548,247,1969,0,33,1633,2999,1203,1783,31,368
18.06.2021 01:00,971,580,219,1901,0,33,1634,2968,1168,1807,62,372
18.06.2021 01:15,970,565,218,1817,0,33,1634,2937,1165,1808,36,368
18.06.2021 01:30,975,551,200,1735,0,33,1634,2936,1160,1799,26,365
18.06.2021 01:45,980,538,201,1658,0,33,1634,2935,1150,1741,15,365
18.06.2021 02:00,978,539,194,1595,0,33,1635,2947,1137,1699,7,373
18.06.2021 02:15,981,530,192,1541,0,33,1636,2940,1134,1695,4,369
18.06.2021 02:30,984,535,190,1501,0,33,1637,2944,1135,1682,4,366
18.06.2021 02:45,986,545,185,1473,0,33,1637,2968,1141,1681,7,367
18.06.2021 03:00,983,560,182,1424,0,33,1637,3006,1142,1590,10,368
18.06.2021 03:15,985,540,179,1394,0,33,1637,3025,1141,1597,3,368
18.06.2021 03:30,985,543,171,1375,0,33,1638,3051,1143,1597,5,368
18.06.2021 03:45,981,544,170,1364,0,33,1639,3075,1139,1582,3,370
18.06.2021 04:00,976,545,190,1329,0,33,1638,3101,1136,1508,3,366
18.06.2021 04:15,974,537,198,1287,0,33,1639,3106,1140,1551,3,366
18.06.2021 04:30,975,536,213,1268,1,33,1639,3141,1145,1580,3,367
18.06.2021 04:45,980,548,227,1280,7,33,1639,3144,1156,1580,2,367
18.06.2021 05:00,993,534,234,1281,27,33,1639,3133,1145,1603,1,367
18.06.2021 05:15,991,550,225,1333,58,33,1639,3127,1145,1605,1,366
18.06.2021 05:30,993,560,218,1329,125,33,1640,3132,1186,1680,2,367
18.06.2021 05:45,999,574,244,1328,238,33,1640,3128,1259,1800,7,360
18.06.2021 06:00,1018,561,249,1311,385,33,1641,3131,1331,1915,26,361
18.06.2021 06:15,1026,601,249,1273,576,33,1642,3142,1409,1935,84,366
18.06.2021 06:30,1031,633,212,1176,810,33,1641,3162,1456,1941,201,365
18.06.2021 06:45,1037,611,190,1078,1104,33,1623,3160,1512,1959,387,368
18.06.2021 07:00,1047,569,168,970,1432,33,1614,3151,1602,2001,556,371
18.06.2021 07:15,1060,602,151,873,1801,33,1608,3143,1655,2009,675,369
18.06.2021 07:30,1052,611,153,721,2193,33,1607,3143,1663,2016,678,368
18.06.2021 07:45,1050,615,154,591,2613,33,1606,3146,1717,2009,686,369
18.06.2021 08:00,1053,645,159,503,3051,33,1605,3150,1791,2009,1172,366
18.06.2021 08:15,1051,623,160,432,3518,33,1588,3144,1817,1987,1179,366
18.06.2021 08:30,1051,606,168,410,3968,34,1576,3138,1847,1839,1155,365
18.06.2021 08:45,1052,562,198,426,4420,34,1569,3132,1861,1822,836,374
18.06.2021 09:00,1051,620,223,450,4840,34,1569,3108,1875,1816,1147,371
18.06.2021 09:15,1041,599,231,457,5245,33,1568,3101,1889,1824,932,372
18.06.2021 09:30,1037,572,233,504,5603,33,1567,3089,1910,1830,743,372
18.06.2021 09:45,1036,548,313,551,5957,34,1566,3055,1912,1840,530,367
18.06.2021 10:00,1012,610,376,651,6278,34,1570,3012,1904,1819,481,366
18.06.2021 10:15,1005,547,508,746,6554,34,1569,3000,1906,1796,175,369
18.06.2021 10:30,1005,561,608,818,6822,34,1571,2995,1912,1786,67,370
18.06.2021 10:45,1003,542,569,859,7078,34,1571,2999,1865,1773,37,367
18.06.2021 11:00,993,578,567,919,7303,34,1569,2969,1844,1772,71,376
18.06.2021 11:15,991,538,580,958,7515,34,1568,2962,1841,1788,76,379
18.06.2021 11:30,984,584,579,985,7672,34,1567,2956,1819,1800,90,382
18.06.2021 11:45,968,585,532,1011,7815,34,1567,2957,1785,1803,57,383
18.06.2021 12:00,943,611,453,1010,7935,34,1577,2917,1771,1778,83,384
18.06.2021 12:15,939,582,446,997,8030,34,1585,2888,1745,1784,63,387
18.06.2021 12:30,934,552,451,970,8121,34,1584,2878,1713,1787,36,383
18.06.2021 12:45,937,555,456,941,8156,34,1583,2887,1684,1772,48,383
18.06.2021 13:00,932,567,490,895,8169,33,1584,2935,1663,1670,32,386
18.06.2021 13:15,932,518,512,853,8153,33,1584,2926,1661,1627,6,386
18.06.2021 13:30,929,514,542,804,8093,33,1586,2937,1657,1612,3,388
18.06.2021 13:45,925,517,563,763,8002,33,1574,2964,1653,1609,4,385
18.06.2021 14:00,925,533,624,731,7937,33,1569,3008,1626,1595,10,381
18.06.2021 14:15,926,515,657,728,7839,33,1567,3000,1621,1616,4,384
18.06.2021 14:30,926,532,713,730,7711,33,1566,2995,1621,1612,8,378
18.06.2021 14:45,922,548,739,743,7546,33,1565,3000,1620,1637,25,382
18.06.2021 15:00,927,541,736,759,7330,33,1569,3032,1614,1620,5,376
18.06.2021 15:15,926,569,702,756,7103,33,1569,3039,1590,1634,46,376
18.06.2021 15:30,924,572,670,748,6868,33,1568,3037,1544,1651,76,380
18.06.2021 15:45,926,573,667,757,6625,33,1568,3046,1560,1658,77,381
18.06.2021 16:00,929,550,696,752,6337,33,1567,3069,1532,1660,24,377
18.06.2021 16:15,948,554,750,747,6046,33,1566,3100,1516,1709,51,377
18.06.2021 16:30,941,534,811,816,5715,33,1566,3125,1497,1752,38,380
18.06.2021 16:45,939,584,868,834,5336,33,1566,3139,1502,1832,69,376
18.06.2021 17:00,949,533,923,910,4970,33,1578,3153,1509,1890,6,375
18.06.2021 17:15,962,586,935,918,4566,33,1588,3146,1531,1884,87,378
18.06.2021 17:30,962,593,963,926,4166,33,1587,3167,1584,1916,104,377
18.06.2021 17:45,965,609,965,963,3712,33,1587,3170,1631,1914,246,380
18.06.2021 18:00,971,525,1017,967,3263,33,1588,3195,1611,1918,154,385
18.06.2021 18:15,945,552,1069,1000,2838,33,1589,3194,1632,1939,236,381
18.06.2021 18:30,946,570,1078,1065,2429,33,1590,3211,1653,1945,316,380
18.06.2021 18:45,964,593,1092,1085,2039,33,1590,3211,1667,1939,508,381
18.06.2021 19:00,979,539,1130,1091,1668,33,1590,3205,1685,1938,450,378
18.06.2021 19:15,982,575,1148,1080,1338,33,1590,3221,1689,1935,609,380
18.06.2021 19:30,983,598,1157,1075,1060,33,1589,3213,1688,1944,699,379
18.06.2021 19:45,979,588,1174,1117,817,33,1591,3229,1672,1938,790,379
18.06.2021 20:00,977,574,1186,1158,622,33,1597,3262,1589,1938,984,376
18.06.2021 20:15,977,565,1152,1238,442,33,1601,3249,1583,1941,984,373
18.06.2021 20:30,983,571,1119,1305,288,33,1603,3259,1578,1937,985,378
18.06.2021 20:45,980,562,1087,1409,167,33,1603,3244,1580,1938,898,377
18.06.2021 21:00,979,592,942,1495,81,33,1603,3274,1564,1958,1125,377
18.06.2021 21:15,976,584,811,1617,28,33,1603,3271,1562,1968,1049,373
18.06.2021 21:30,974,574,792,1774,6,33,1604,3255,1557,1980,925,373
18.06.2021 21:45,972,549,856,1867,1,33,1603,3223,1547,1978,761,373
18.06.2021 22:00,963,578,919,1978,0,33,1607,3209,1546,1961,862,373
18.06.2021 22:15,966,551,1042,2123,0,34,1607,3180,1541,1947,512,374
18.06.2021 22:30,968,567,986,2121,0,34,1610,3193,1513,1877,559,375
18.06.2021 22:45,970,545,874,2092,0,34,1610,3209,1482,1821,378,377
18.06.2021 23:00,964,583,857,2074,0,34,1609,3182,1472,1777,425,374
18.06.2021 23:15,967,521,925,2013,0,34,1610,3165,1412,1786,288,385
18.06.2021 23:30,964,512,938,1976,0,34,1610,3179,1354,1724,186,376
18.06.2021 23:45,963,511,839,1984,0,34,1611,3188,1297,1654,167,374
19.06.2021 00:00,955,561,703,2011,0,34,1618,3231,1013,1400,126,375
19.06.2021 00:15,958,585,648,1968,0,34,1632,3253,900,1279,288,374
19.06.2021 00:30,950,550,587,1978,0,34,1633,3261,853,1227,284,375
19.06.2021 00:45,948,576,514,2030,0,34,1634,3256,853,1205,199,373
19.06.2021 01:00,949,593,479,2026,0,34,1632,3240,857,1198,300,372
19.06.2021 01:15,948,587,409,2012,0,34,1632,3232,835,1182,274,375
19.06.2021 01:30,946,588,381,1918,0,34,1633,3228,715,1185,414,375
19.06.2021 01:45,945,574,359,1843,0,34,1635,3227,698,1186,410,373
19.06.2021 02:00,954,548,365,1805,0,34,1635,3228,657,1200,252,374
19.06.2021 02:15,956,549,372,1762,0,34,1634,3209,653,1219,177,374
19.06.2021 02:30,960,548,391,1746,0,34,1634,3175,681,1270,112,373
