Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
21.12.2021 00:00,1139,282,1,760,0,55,1922,3666,2860,2493,75,388
21.12.2021 00:15,1141,283,0,755,0,55,1933,3670,2844,2567,68,387
21.12.2021 00:30,1142,268,0,729,0,55,1944,3686,2842,2572,61,387
21.12.2021 00:45,1141,266,0,703,0,55,1954,3689,2820,2551,47,386
21.12.2021 01:00,1140,272,0,690,0,55,1965,3706,2812,2575,108,384
21.12.2021 01:15,1140,266,0,685,0,55,1968,3705,2814,2574,58,384
21.12.2021 01:30,1142,265,0,689,0,55,1969,3712,2822,2581,50,389
21.12.2021 01:45,1141,263,0,694,0,55,1970,3680,2825,2571,34,389
21.12.2021 02:00,1136,267,1,679,0,55,1971,3650,2813,2564,40,391
21.12.2021 02:15,1135,274,1,675,0,55,1972,3633,2819,2565,47,389
21.12.2021 02:30,1139,264,1,664,0,55,1972,3646,2822,2573,46,389
21.12.2021 02:45,1135,263,3,650,0,55,1972,3640,2821,2576,46,389
21.12.2021 03:00,1133,273,4,647,0,55,1971,3650,2822,2565,56,389
21.12.2021 03:15,1136,278,10,633,0,55,1971,3635,2823,2569,58,389
21.12.2021 03:30,1131,270,13,616,0,55,1971,3652,2824,2571,54,389
21.12.2021 03:45,1134,268,16,610,0,55,1971,3674,2816,2572,53,390
21.12.2021 04:00,1136,268,19,603,0,55,1971,3716,2820,2581,49,390
21.12.2021 04:15,1138,297,16,600,0,55,1971,3714,2816,2585,84,390
21.12.2021 04:30,1138,298,14,597,0,55,1972,3720,2761,2604,84,389
21.12.2021 04:45,1138,282,13,583,0,55,1973,3719,2761,2628,76,391
21.12.2021 05:00,1143,285,14,574,0,55,1971,3723,2845,2626,76,391
21.12.2021 05:15,1145,276,17,563,0,54,1971,3726,2912,2678,67,392
21.12.2021 05:30,1143,290,24,558,0,54,1971,3731,2928,2773,26,391
21.12.2021 05:45,1144,301,31,563,0,54,1971,3743,2953,2826,32,394
21.12.2021 06:00,1155,300,39,563,0,54,1972,3754,2982,2810,301,376
21.12.2021 06:15,1157,278,35,551,0,54,1972,3788,3001,2872,433,375
21.12.2021 06:30,1166,294,26,552,0,54,1973,3790,3019,2883,559,380
21.12.2021 06:45,1172,343,24,551,0,54,1973,3795,3036,2924,630,413
21.12.2021 07:00,1186,302,30,543,0,54,1974,3791,3066,3045,425,437
21.12.2021 07:15,1196,322,37,547,0,54,1976,3860,3100,3059,483,450
21.12.2021 07:30,1202,330,44,524,0,54,1976,3900,3124,3070,587,452
21.12.2021 07:45,1212,353,57,514,0,54,1976,3903,3129,3048,692,452
21.12.2021 08:00,1223,321,50,514,7,54,1977,3892,3133,3023,840,466
21.12.2021 08:15,1224,348,56,491,31,54,1976,3883,3179,3021,767,468
21.12.2021 08:30,1225,313,73,489,113,54,1976,3882,3246,3018,621,466
21.12.2021 08:45,1223,303,94,484,255,55,1975,3883,3269,3012,544,468
21.12.2021 09:00,1220,374,100,465,456,55,1975,3875,3277,3042,698,469
21.12.2021 09:15,1222,347,106,447,684,55,1975,3871,3282,2978,588,473
21.12.2021 09:30,1219,327,126,416,931,55,1975,3875,3275,2895,497,490
21.12.2021 09:45,1218,313,145,387,1203,55,1975,3882,3286,2872,382,505
21.12.2021 10:00,1208,358,157,358,1470,55,1975,3884,3291,2811,374,507
21.12.2021 10:15,1206,325,162,328,1710,55,1974,3872,3301,2786,404,519
21.12.2021 10:30,1203,314,167,300,1975,55,1975,3859,3278,2785,226,536
21.12.2021 10:45,1202,302,169,279,2218,55,1974,3861,3258,2790,181,548
21.12.2021 11:00,1191,312,173,257,2425,55,1973,3865,3238,2792,212,561
21.12.2021 11:15,1190,308,160,234,2615,55,1973,3851,3238,2803,162,569
21.12.2021 11:30,1189,298,148,220,2757,55,1973,3850,3229,2814,144,561
21.12.2021 11:45,1190,288,162,215,2834,55,1972,3851,3220,2817,127,535
21.12.2021 12:00,1177,292,167,206,2885,55,1973,3829,3209,2821,159,523
21.12.2021 12:15,1181,299,165,200,2905,55,1973,3836,3201,2824,134,461
21.12.2021 12:30,1182,312,168,195,2897,55,1974,3839,3208,2825,122,448
21.12.2021 12:45,1181,301,184,191,2845,55,1974,3838,3201,2835,142,449
21.12.2021 13:00,1180,316,166,199,2750,55,1973,3833,3195,2814,156,464
21.12.2021 13:15,1176,319,151,193,2610,55,1974,3830,3179,2832,175,462
21.12.2021 13:30,1174,324,144,187,2415,55,1974,3835,3182,2837,261,461
21.12.2021 13:45,1174,306,158,175,2197,55,1974,3831,3182,2819,327,462
21.12.2021 14:00,1178,305,173,171,1952,55,1973,3840,3194,2844,387,460
21.12.2021 14:15,1181,330,167,167,1700,55,1974,3833,3195,2894,381,464
21.12.2021 14:30,1185,346,155,170,1437,55,1974,3844,3187,2929,520,463
21.12.2021 14:45,1190,361,143,180,1153,55,1974,3843,3189,2943,590,464
21.12.2021 15:00,1196,330,134,191,887,55,1972,3842,3190,2951,404,468
21.12.2021 15:15,1199,356,126,205,618,55,1973,3849,3219,2948,532,471
21.12.2021 15:30,1200,367,135,247,378,55,1974,3847,3263,2948,749,471
21.12.2021 15:45,1204,367,138,286,182,55,1974,3844,3274,2947,929,470
21.12.2021 16:00,1213,342,131,325,62,55,1973,3830,3282,2943,631,357
21.12.2021 16:15,1220,367,118,365,10,55,1974,3843,3285,2934,761,381
21.12.2021 16:30,1221,357,121,410,0,55,1974,3835,3278,2921,815,399
21.12.2021 16:45,1223,367,127,456,0,55,1974,3849,3269,2921,945,399
21.12.2021 17:00,1230,361,124,492,0,55,1973,3831,3262,2989,1067,400
21.12.2021 17:15,1234,355,119,523,0,55,1972,3843,3266,3019,1043,400
21.12.2021 17:30,1240,347,130,549,0,55,1972,3843,3268,3019,1041,400
21.12.2021 17:45,1237,354,156,582,0,55,1972,3839,3268,3024,930,403
21.12.2021 18:00,1233,357,158,594,0,55,1972,3845,3259,2948,1053,402
21.12.2021 18:15,1232,353,150,606,0,55,1974,3839,3257,2910,1046,402
21.12.2021 18:30,1235,339,150,625,0,55,1973,3849,3247,2891,892,392
21.12.2021 18:45,1234,321,159,632,0,55,1973,3843,3247,2898,870,367
