Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
01.12.2021 00:00,1138,271,779,4389,0,45,1858,3177,1796,925,286,385
01.12.2021 00:15,1135,245,883,4475,0,45,1858,3141,1764,945,236,384
01.12.2021 00:30,1133,244,945,4578,0,45,1855,3091,1734,945,116,385
01.12.2021 00:45,1130,243,1070,4662,0,45,1855,2928,1708,938,58,384
01.12.2021 01:00,1130,244,1212,4783,0,44,1855,2705,1696,957,71,381
01.12.2021 01:15,1128,246,1316,4892,0,42,1854,2680,1683,945,21,376
01.12.2021 01:30,1128,239,1388,5017,0,42,1853,2645,1689,933,19,376
01.12.2021 01:45,1127,256,1420,5080,0,42,1849,2586,1661,934,25,376
01.12.2021 02:00,1125,279,1440,5286,0,42,1854,2594,1603,890,56,373
01.12.2021 02:15,1123,270,1497,5465,0,42,1853,2589,1578,882,35,373
01.12.2021 02:30,1123,253,1539,5629,0,42,1851,2599,1587,889,23,373
01.12.2021 02:45,1123,252,1555,5780,0,42,1849,2544,1592,886,25,374
01.12.2021 03:00,1121,277,1565,5985,0,42,1850,2428,1624,886,47,371
01.12.2021 03:15,1120,263,1566,6177,0,42,1850,2295,1631,884,89,371
01.12.2021 03:30,1121,265,1567,6362,0,42,1852,2288,1648,887,38,371
01.12.2021 03:45,1122,268,1552,6497,0,42,1852,2275,1654,889,30,371
01.12.2021 04:00,1125,268,1548,6650,0,42,1851,2202,1631,884,30,368
01.12.2021 04:15,1126,268,1554,6799,0,42,1852,2195,1634,879,31,369
01.12.2021 04:30,1127,267,1555,6982,0,41,1852,2172,1640,892,31,372
01.12.2021 04:45,1127,281,1564,7165,0,41,1850,2193,1650,919,32,370
01.12.2021 05:00,1131,282,1575,7545,0,41,1852,2288,1676,956,35,365
