Datum,Biomasse[MWh],Wasserkraft[MWh],Wind Offshore[MWh],Wind Onshore[MWh],Photovoltaik[MWh],Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh]
18.12.2021 00:00,1136,270,485,821,0,52,1965,3268,1807,1737,192,382
18.12.2021 00:15,1136,273,501,796,0,52,1967,3271,1781,1718,171,380
18.12.2021 00:30,1136,270,532,777,0,52,1965,3277,1801,1702,65,381
18.12.2021 00:45,1135,268,591,743,0,52,1964,3277,1824,1681,46,380
18.12.2021 01:00,1133,268,629,731,0,52,1965,3273,1845,1623,108,380
18.12.2021 01:15,1132,266,640,734,0,51,1965,3270,1880,1526,61,378
18.12.2021 01:30,1128,264,643,749,0,52,1965,3265,1895,1522,53,380
18.12.2021 01:45,1128,265,609,791,0,52,1964,3237,1897,1507,54,380
18.12.2021 02:00,1124,265,617,810,0,52,1956,3210,1895,1460,26,380
18.12.2021 02:15,1124,264,607,829,0,52,1949,3202,1896,1429,24,376
18.12.2021 02:30,1124,264,601,836,0,52,1948,3206,1902,1415,30,377
18.12.2021 02:45,1126,264,609,851,0,52,1949,3202,1905,1417,21,380
18.12.2021 03:00,1127,269,624,891,0,52,1946,3197,1901,1377,57,379
18.12.2021 03:15,1129,265,634,911,0,52,1930,3188,1895,1376,39,380
18.12.2021 03:30,1129,264,635,937,0,52,1926,3187,1899,1380,28,379
18.12.2021 03:45,1132,265,642,960,0,52,1926,3195,1903,1385,32,378
18.12.2021 04:00,1136,266,667,978,0,52,1920,3187,1906,1376,20,379
18.12.2021 04:15,1134,266,662,1013,0,52,1904,3152,1909,1456,20,380
18.12.2021 04:30,1132,268,646,1040,0,53,1889,3143,1904,1503,41,382
18.12.2021 04:45,1125,265,671,1055,0,53,1882,3141,1881,1462,36,382
18.12.2021 05:00,1129,268,665,1068,0,53,1883,3145,1775,1480,42,383
18.12.2021 05:15,1133,266,636,1104,0,53,1884,3168,1759,1508,35,381
18.12.2021 05:30,1136,265,631,1137,0,53,1884,3192,1785,1521,52,377
18.12.2021 05:45,1136,264,633,1162,0,53,1885,3204,1822,1547,84,384
18.12.2021 06:00,1145,267,621,1215,0,53,1884,3205,1918,1622,71,384
18.12.2021 06:15,1151,268,637,1261,0,54,1884,3224,1942,1703,66,384
18.12.2021 06:30,1151,269,663,1326,0,54,1885,3242,1942,1755,77,384
18.12.2021 06:45,1155,269,669,1370,0,54,1885,3244,1963,1882,138,386
18.12.2021 07:00,1172,271,680,1435,0,54,1880,3237,1966,1964,39,386
18.12.2021 07:15,1179,268,665,1503,0,54,1884,3255,1988,2007,73,385
18.12.2021 07:30,1184,270,672,1584,0,54,1885,3267,2000,2030,187,385
18.12.2021 07:45,1188,268,681,1640,0,54,1885,3272,2015,2082,237,383
18.12.2021 08:00,1199,264,683,1712,16,54,1884,3254,2015,2159,321,384
18.12.2021 08:15,1206,272,702,1772,25,54,1867,3236,2076,2222,371,384
18.12.2021 08:30,1210,286,714,1792,30,54,1830,3197,2165,2252,436,382
18.12.2021 08:45,1216,279,754,1793,59,54,1811,3197,2197,2285,415,383
18.12.2021 09:00,1223,275,762,1843,103,54,1808,3138,2221,2296,453,386
18.12.2021 09:15,1224,268,784,1927,160,54,1808,3133,2193,2291,491,385
18.12.2021 09:30,1225,268,813,1972,230,54,1808,3145,2153,2292,542,385
18.12.2021 09:45,1223,272,849,1998,303,54,1816,3167,2112,2297,523,385
